,Unnamed: 0,Name,Seed Size,Time,Exact,desv,best
0,,1000_104034_117_social_0.sol,9,,,,
0,,1000_112621_129_social_0.sol,9,,,,
0,,1000_121207_141_social_0.sol,8,,,,
0,,1000_129793_153_social_0.sol,7,,,,
0,,1000_138379_165_social_0.sol,7,,,,
0,,1000_146966_179_social_0.sol,7,,,,
0,,1000_155552_192_social_0.sol,6,,,,
0,,1000_164138_206_social_0.sol,6,,,,
0,,1000_172724_222_social_0.sol,6,,,,
0,,1000_181311_237_social_0.sol,6,,,,
0,,1000_18172_18_social_0.sol,32,,,,
0,,1000_189897_254_social_0.sol,5,,,,
0,,1000_198483_273_social_0.sol,5,,,,
0,,1000_207069_292_social_0.sol,5,,,,
0,,1000_215656_314_social_0.sol,4,,,,
0,,1000_224242_339_social_0.sol,4,,,,
0,,1000_232828_368_social_0.sol,4,,,,
0,,1000_241414_407_social_0.sol,3,,,,
0,,1000_250000_500_social_0.sol,2,,,,
0,,1000_26758_27_social_0.sol,24,,,,
0,,1000_35344_36_social_0.sol,19,,,,
0,,1000_43931_46_social_0.sol,17,,,,
0,,1000_52517_55_social_0.sol,15,,,,
0,,1000_61103_65_social_0.sol,14,,,,
0,,1000_69689_75_social_0.sol,12,,,,
0,,1000_78276_85_social_0.sol,11,,,,
0,,1000_86862_96_social_0.sol,10,,,,
0,,1000_95448_106_social_0.sol,10,,,,
0,,1000_9586_9_social_0.sol,53,,,,
0,,1000_999_1_social_0.sol,134,,,,
0,,100_1010_11_social_0.sol,6,,,,
0,,100_1093_12_social_0.sol,5,,,,
0,,100_1176_13_social_0.sol,6,,,,
0,,100_1259_14_social_0.sol,5,,,,
0,,100_1341_15_social_0.sol,4,,,,
0,,100_1424_17_social_0.sol,5,,,,
0,,100_1507_18_social_0.sol,5,,,,
0,,100_1590_19_social_0.sol,4,,,,
0,,100_1673_21_social_0.sol,4,,,,
0,,100_1755_22_social_0.sol,4,,,,
0,,100_182_1_social_0.sol,4,,,,
0,,100_1838_24_social_0.sol,3,,,,
0,,100_1921_25_social_0.sol,4,,,,
0,,100_2004_27_social_0.sol,3,,,,
0,,100_2087_29_social_0.sol,3,,,,
0,,100_2169_31_social_0.sol,3,,,,
0,,100_2252_34_social_0.sol,3,,,,
0,,100_2335_37_social_0.sol,2,,,,
0,,100_2418_40_social_0.sol,2,,,,
0,,100_2500_50_social_0.sol,2,,,,
0,,100_265_2_social_0.sol,5,,,,
0,,100_348_3_social_0.sol,6,,,,
0,,100_431_4_social_0.sol,8,,,,
0,,100_513_5_social_0.sol,8,,,,
0,,100_596_6_social_0.sol,9,,,,
0,,100_679_7_social_0.sol,9,,,,
0,,100_762_8_social_0.sol,8,,,,
0,,100_845_9_social_0.sol,7,,,,
0,,100_927_10_social_0.sol,6,,,,
0,,100_99_1_social_0.sol,15,,,,
0,,10_11_1_social_0.sol,2,,,,
0,,10_11_1_social_1.sol,2,,,,
0,,10_11_1_social_2.sol,1,,,,
0,,10_13_1_social_0.sol,1,,,,
0,,10_13_1_social_1.sol,2,,,,
0,,10_13_1_social_2.sol,1,,,,
0,,10_15_1_social_0.sol,1,,,,
0,,10_15_1_social_1.sol,1,,,,
0,,10_15_1_social_2.sol,2,,,,
0,,10_17_2_social_0.sol,2,,,,
0,,10_17_2_social_1.sol,1,,,,
0,,10_17_2_social_2.sol,1,,,,
0,,10_18_2_social_0.sol,1,,,,
0,,10_18_2_social_1.sol,2,,,,
0,,10_18_2_social_2.sol,2,,,,
0,,10_20_2_social_0.sol,2,,,,
0,,10_20_2_social_1.sol,1,,,,
0,,10_20_2_social_2.sol,2,,,,
0,,10_22_3_social_0.sol,2,,,,
0,,10_22_3_social_1.sol,2,,,,
0,,10_22_3_social_2.sol,2,,,,
0,,10_24_4_social_0.sol,2,,,,
0,,10_24_4_social_1.sol,1,,,,
0,,10_24_4_social_2.sol,2,,,,
0,,10_25_5_social_0.sol,2,,,,
0,,10_25_5_social_1.sol,1,,,,
0,,10_25_5_social_2.sol,1,,,,
0,,10_9_1_social_0.sol,1,,,,
0,,10_9_1_social_1.sol,2,,,,
0,,10_9_1_social_2.sol,1,,,,
0,,15_14_1_social_0.sol,3,,,,
0,,15_16_1_social_0.sol,2,,,,
0,,15_17_1_social_0.sol,2,,,,
0,,15_19_1_social_0.sol,2,,,,
0,,15_20_1_social_0.sol,1,,,,
0,,15_22_1_social_0.sol,1,,,,
0,,15_23_1_social_0.sol,1,,,,
0,,15_25_1_social_0.sol,1,,,,
0,,15_26_2_social_0.sol,1,,,,
0,,15_28_2_social_0.sol,1,,,,
0,,15_29_2_social_0.sol,2,,,,
0,,15_30_2_social_0.sol,2,,,,
0,,15_32_2_social_0.sol,2,,,,
0,,15_33_2_social_0.sol,2,,,,
0,,15_35_2_social_0.sol,2,,,,
0,,15_36_3_social_0.sol,2,,,,
0,,15_38_3_social_0.sol,2,,,,
0,,15_39_3_social_0.sol,2,,,,
0,,15_41_3_social_0.sol,2,,,,
0,,15_42_3_social_0.sol,2,,,,
0,,15_43_3_social_0.sol,2,,,,
0,,15_45_4_social_0.sol,2,,,,
0,,15_46_4_social_0.sol,2,,,,
0,,15_48_4_social_0.sol,2,,,,
0,,15_49_4_social_0.sol,2,,,,
0,,15_51_5_social_0.sol,2,,,,
0,,15_52_5_social_0.sol,2,,,,
0,,15_54_6_social_0.sol,1,,,,
0,,15_55_6_social_0.sol,2,,,,
0,,15_56_7_social_0.sol,1,,,,
0,,200_10000_100_social_0.sol,2,,,,
0,,200_1213_6_social_0.sol,14,,,,
0,,200_1551_8_social_0.sol,12,,,,
0,,200_1889_9_social_0.sol,12,,,,
0,,200_199_1_social_0.sol,28,,,,
0,,200_2227_11_social_0.sol,10,,,,
0,,200_2565_13_social_0.sol,9,,,,
0,,200_2903_15_social_0.sol,10,,,,
0,,200_3241_17_social_0.sol,8,,,,
0,,200_3579_19_social_0.sol,8,,,,
0,,200_3917_22_social_0.sol,7,,,,
0,,200_4255_24_social_0.sol,7,,,,
0,,200_4593_26_social_0.sol,6,,,,
0,,200_4931_28_social_0.sol,6,,,,
0,,200_5269_31_social_0.sol,6,,,,
0,,200_537_2_social_0.sol,11,,,,
0,,200_5607_33_social_0.sol,5,,,,
0,,200_5945_36_social_0.sol,5,,,,
0,,200_6283_39_social_0.sol,5,,,,
0,,200_6621_41_social_0.sol,4,,,,
0,,200_6959_44_social_0.sol,4,,,,
0,,200_7297_48_social_0.sol,4,,,,
0,,200_7635_51_social_0.sol,4,,,,
0,,200_7973_54_social_0.sol,4,,,,
0,,200_8311_58_social_0.sol,3,,,,
0,,200_8649_63_social_0.sol,3,,,,
0,,200_875_4_social_0.sol,13,,,,
0,,200_8987_68_social_0.sol,3,,,,
0,,200_9325_74_social_0.sol,3,,,,
0,,200_9663_81_social_0.sol,2,,,,
0,,20_100_10_social_0.sol,2,,,,
0,,20_19_1_social_0.sol,3,,,,
0,,20_22_1_social_0.sol,2,,,,
0,,20_25_1_social_0.sol,2,,,,
0,,20_28_1_social_0.sol,2,,,,
0,,20_31_1_social_0.sol,2,,,,
0,,20_33_1_social_0.sol,3,,,,
0,,20_36_2_social_0.sol,2,,,,
0,,20_39_2_social_0.sol,2,,,,
0,,20_42_2_social_0.sol,2,,,,
0,,20_45_2_social_0.sol,2,,,,
0,,20_47_2_social_0.sol,2,,,,
0,,20_50_2_social_0.sol,2,,,,
0,,20_53_3_social_0.sol,3,,,,
0,,20_56_3_social_0.sol,3,,,,
0,,20_59_3_social_0.sol,2,,,,
0,,20_61_3_social_0.sol,3,,,,
0,,20_64_4_social_0.sol,3,,,,
0,,20_67_4_social_0.sol,3,,,,
0,,20_70_4_social_0.sol,2,,,,
0,,20_73_4_social_0.sol,2,,,,
0,,20_75_5_social_0.sol,3,,,,
0,,20_78_5_social_0.sol,3,,,,
0,,20_81_5_social_0.sol,2,,,,
0,,20_84_6_social_0.sol,2,,,,
0,,20_87_6_social_0.sol,2,,,,
0,,20_89_6_social_0.sol,2,,,,
0,,20_92_7_social_0.sol,1,,,,
0,,20_95_7_social_0.sol,1,,,,
0,,20_98_8_social_0.sol,2,,,,
0,,25_102_5_social_0.sol,3,,,,
0,,25_106_5_social_0.sol,3,,,,
0,,25_111_5_social_0.sol,3,,,,
0,,25_116_6_social_0.sol,2,,,,
0,,25_120_6_social_0.sol,2,,,,
0,,25_125_6_social_0.sol,3,,,,
0,,25_129_7_social_0.sol,2,,,,
0,,25_134_7_social_0.sol,2,,,,
0,,25_138_8_social_0.sol,2,,,,
0,,25_143_8_social_0.sol,2,,,,
0,,25_147_9_social_0.sol,2,,,,
0,,25_152_10_social_0.sol,2,,,,
0,,25_156_12_social_0.sol,2,,,,
0,,25_24_1_social_0.sol,3,,,,
0,,25_29_1_social_0.sol,3,,,,
0,,25_34_1_social_0.sol,2,,,,
0,,25_38_1_social_0.sol,2,,,,
0,,25_43_1_social_0.sol,2,,,,
0,,25_47_2_social_0.sol,2,,,,
0,,25_52_2_social_0.sol,2,,,,
0,,25_56_2_social_0.sol,3,,,,
0,,25_61_2_social_0.sol,3,,,,
0,,25_65_2_social_0.sol,3,,,,
0,,25_70_3_social_0.sol,3,,,,
0,,25_75_3_social_0.sol,4,,,,
0,,25_79_3_social_0.sol,3,,,,
0,,25_84_4_social_0.sol,2,,,,
0,,25_88_4_social_0.sol,3,,,,
0,,25_93_4_social_0.sol,3,,,,
0,,25_97_4_social_0.sol,3,,,,
0,,300_10252_39_social_0.sol,7,,,,
0,,300_1065_3_social_0.sol,17,,,,
0,,300_11017_42_social_0.sol,6,,,,
0,,300_11783_46_social_0.sol,6,,,,
0,,300_12548_50_social_0.sol,6,,,,
0,,300_13314_54_social_0.sol,5,,,,
0,,300_14079_58_social_0.sol,5,,,,
0,,300_14845_62_social_0.sol,5,,,,
0,,300_15611_67_social_0.sol,4,,,,
0,,300_16376_71_social_0.sol,4,,,,
0,,300_17142_76_social_0.sol,4,,,,
0,,300_17907_82_social_0.sol,4,,,,
0,,300_1831_6_social_0.sol,23,,,,
0,,300_18673_88_social_0.sol,4,,,,
0,,300_19438_94_social_0.sol,3,,,,
0,,300_20204_102_social_0.sol,3,,,,
0,,300_20969_110_social_0.sol,3,,,,
0,,300_21735_122_social_0.sol,3,,,,
0,,300_22500_150_social_0.sol,2,,,,
0,,300_2596_8_social_0.sol,18,,,,
0,,300_299_1_social_0.sol,35,,,,
0,,300_3362_11_social_0.sol,15,,,,
0,,300_4127_14_social_0.sol,14,,,,
0,,300_4893_17_social_0.sol,12,,,,
0,,300_5658_20_social_0.sol,11,,,,
0,,300_6424_23_social_0.sol,10,,,,
0,,300_7189_26_social_0.sol,9,,,,
0,,300_7955_29_social_0.sol,9,,,,
0,,300_8721_32_social_0.sol,8,,,,
0,,300_9486_35_social_0.sol,7,,,,
0,,30_104_4_social_0.sol,4,,,,
0,,30_111_4_social_0.sol,4,,,,
0,,30_117_4_social_0.sol,3,,,,
0,,30_124_4_social_0.sol,3,,,,
0,,30_131_5_social_0.sol,4,,,,
0,,30_138_5_social_0.sol,3,,,,
0,,30_144_6_social_0.sol,3,,,,
0,,30_151_6_social_0.sol,4,,,,
0,,30_158_6_social_0.sol,3,,,,
0,,30_165_7_social_0.sol,2,,,,
0,,30_171_7_social_0.sol,3,,,,
0,,30_178_8_social_0.sol,3,,,,
0,,30_185_8_social_0.sol,2,,,,
0,,30_192_9_social_0.sol,2,,,,
0,,30_198_9_social_0.sol,3,,,,
0,,30_205_10_social_0.sol,2,,,,
0,,30_212_11_social_0.sol,2,,,,
0,,30_219_12_social_0.sol,2,,,,
0,,30_225_15_social_0.sol,2,,,,
0,,30_29_1_social_0.sol,6,,,,
0,,30_36_1_social_0.sol,4,,,,
0,,30_43_1_social_0.sol,3,,,,
0,,30_50_1_social_0.sol,2,,,,
0,,30_57_2_social_0.sol,2,,,,
0,,30_63_2_social_0.sol,2,,,,
0,,30_70_2_social_0.sol,2,,,,
0,,30_77_2_social_0.sol,3,,,,
0,,30_84_3_social_0.sol,4,,,,
0,,30_90_3_social_0.sol,4,,,,
0,,30_97_3_social_0.sol,3,,,,
0,,35_100_3_social_0.sol,3,,,,
0,,35_110_3_social_0.sol,3,,,,
0,,35_119_3_social_0.sol,3,,,,
0,,35_128_4_social_0.sol,4,,,,
0,,35_138_4_social_0.sol,4,,,,
0,,35_147_4_social_0.sol,3,,,,
0,,35_156_5_social_0.sol,4,,,,
0,,35_166_5_social_0.sol,3,,,,
0,,35_175_6_social_0.sol,3,,,,
0,,35_185_6_social_0.sol,3,,,,
0,,35_194_6_social_0.sol,3,,,,
0,,35_203_7_social_0.sol,3,,,,
0,,35_213_7_social_0.sol,3,,,,
0,,35_222_8_social_0.sol,4,,,,
0,,35_231_8_social_0.sol,3,,,,
0,,35_241_9_social_0.sol,3,,,,
0,,35_250_10_social_0.sol,2,,,,
0,,35_260_10_social_0.sol,2,,,,
0,,35_269_11_social_0.sol,2,,,,
0,,35_278_12_social_0.sol,2,,,,
0,,35_288_13_social_0.sol,2,,,,
0,,35_297_14_social_0.sol,2,,,,
0,,35_306_17_social_0.sol,2,,,,
0,,35_34_1_social_0.sol,8,,,,
0,,35_44_1_social_0.sol,3,,,,
0,,35_53_1_social_0.sol,3,,,,
0,,35_63_1_social_0.sol,2,,,,
0,,35_72_2_social_0.sol,3,,,,
0,,35_81_2_social_0.sol,3,,,,
0,,35_91_2_social_0.sol,3,,,,
0,,400_11324_30_social_0.sol,11,,,,
0,,400_12689_34_social_0.sol,10,,,,
0,,400_14055_38_social_0.sol,9,,,,
0,,400_15421_43_social_0.sol,8,,,,
0,,400_16786_47_social_0.sol,7,,,,
0,,400_1765_4_social_0.sol,23,,,,
0,,400_18152_52_social_0.sol,7,,,,
0,,400_19517_56_social_0.sol,7,,,,
0,,400_20883_61_social_0.sol,6,,,,
0,,400_22248_66_social_0.sol,6,,,,
0,,400_23614_71_social_0.sol,6,,,,
0,,400_24979_77_social_0.sol,6,,,,
0,,400_26345_83_social_0.sol,5,,,,
0,,400_27711_89_social_0.sol,5,,,,
0,,400_29076_95_social_0.sol,4,,,,
0,,400_30442_102_social_0.sol,4,,,,
0,,400_3131_7_social_0.sol,26,,,,
0,,400_31807_109_social_0.sol,4,,,,
0,,400_33173_117_social_0.sol,4,,,,
0,,400_34538_126_social_0.sol,3,,,,
0,,400_35904_136_social_0.sol,3,,,,
0,,400_37269_147_social_0.sol,3,,,,
0,,400_38635_163_social_0.sol,3,,,,
0,,400_399_1_social_0.sol,52,,,,
0,,400_40000_200_social_0.sol,2,,,,
0,,400_4496_11_social_0.sol,19,,,,
0,,400_5862_15_social_0.sol,17,,,,
0,,400_7227_18_social_0.sol,13,,,,
0,,400_8593_22_social_0.sol,14,,,,
0,,400_9958_26_social_0.sol,11,,,,
0,,40_102_2_social_0.sol,3,,,,
0,,40_114_3_social_0.sol,4,,,,
0,,40_127_3_social_0.sol,4,,,,
0,,40_139_3_social_0.sol,4,,,,
0,,40_152_4_social_0.sol,5,,,,
0,,40_164_4_social_0.sol,4,,,,
0,,40_176_5_social_0.sol,5,,,,
0,,40_189_5_social_0.sol,5,,,,
0,,40_201_5_social_0.sol,4,,,,
0,,40_214_6_social_0.sol,4,,,,
0,,40_226_6_social_0.sol,4,,,,
0,,40_239_7_social_0.sol,3,,,,
0,,40_251_7_social_0.sol,3,,,,
0,,40_264_8_social_0.sol,4,,,,
0,,40_276_8_social_0.sol,3,,,,
0,,40_288_9_social_0.sol,3,,,,
0,,40_301_10_social_0.sol,3,,,,
0,,40_313_10_social_0.sol,3,,,,
0,,40_326_11_social_0.sol,3,,,,
0,,40_338_12_social_0.sol,3,,,,
0,,40_351_13_social_0.sol,3,,,,
0,,40_363_13_social_0.sol,3,,,,
0,,40_376_15_social_0.sol,2,,,,
0,,40_388_16_social_0.sol,2,,,,
0,,40_39_1_social_0.sol,7,,,,
0,,40_400_20_social_0.sol,2,,,,
0,,40_52_1_social_0.sol,4,,,,
0,,40_64_1_social_0.sol,3,,,,
0,,40_77_2_social_0.sol,2,,,,
0,,40_89_2_social_0.sol,4,,,,
0,,45_108_2_social_0.sol,3,,,,
0,,45_124_2_social_0.sol,3,,,,
0,,45_140_3_social_0.sol,3,,,,
0,,45_156_3_social_0.sol,5,,,,
0,,45_172_4_social_0.sol,5,,,,
0,,45_188_4_social_0.sol,4,,,,
0,,45_204_5_social_0.sol,5,,,,
0,,45_220_5_social_0.sol,5,,,,
0,,45_236_6_social_0.sol,5,,,,
0,,45_252_6_social_0.sol,4,,,,
0,,45_268_7_social_0.sol,4,,,,
0,,45_283_7_social_0.sol,3,,,,
0,,45_299_8_social_0.sol,4,,,,
0,,45_315_8_social_0.sol,4,,,,
0,,45_331_9_social_0.sol,3,,,,
0,,45_347_9_social_0.sol,4,,,,
0,,45_363_10_social_0.sol,3,,,,
0,,45_379_11_social_0.sol,3,,,,
0,,45_395_11_social_0.sol,3,,,,
0,,45_411_12_social_0.sol,3,,,,
0,,45_427_13_social_0.sol,3,,,,
0,,45_443_14_social_0.sol,2,,,,
0,,45_44_1_social_0.sol,6,,,,
0,,45_459_15_social_0.sol,3,,,,
0,,45_475_16_social_0.sol,2,,,,
0,,45_491_18_social_0.sol,2,,,,
0,,45_506_22_social_0.sol,2,,,,
0,,45_60_1_social_0.sol,4,,,,
0,,45_76_1_social_0.sol,2,,,,
0,,45_92_2_social_0.sol,3,,,,
0,,500_11189_23_social_0.sol,13,,,,
0,,500_13327_28_social_0.sol,13,,,,
0,,500_15465_33_social_0.sol,12,,,,
0,,500_17603_38_social_0.sol,11,,,,
0,,500_19741_43_social_0.sol,10,,,,
0,,500_21879_48_social_0.sol,9,,,,
0,,500_24017_53_social_0.sol,8,,,,
0,,500_26155_59_social_0.sol,8,,,,
0,,500_2637_5_social_0.sol,36,,,,
0,,500_28293_65_social_0.sol,7,,,,
0,,500_30431_70_social_0.sol,7,,,,
0,,500_32569_76_social_0.sol,7,,,,
0,,500_34707_83_social_0.sol,6,,,,
0,,500_36845_89_social_0.sol,6,,,,
0,,500_38983_96_social_0.sol,5,,,,
0,,500_41121_103_social_0.sol,5,,,,
0,,500_43259_111_social_0.sol,5,,,,
0,,500_45397_119_social_0.sol,5,,,,
0,,500_47535_127_social_0.sol,4,,,,
0,,500_4775_9_social_0.sol,25,,,,
0,,500_49673_136_social_0.sol,4,,,,
0,,500_499_1_social_0.sol,72,,,,
0,,500_51811_146_social_0.sol,4,,,,
0,,500_53949_157_social_0.sol,4,,,,
0,,500_56087_169_social_0.sol,4,,,,
0,,500_58225_184_social_0.sol,3,,,,
0,,500_60363_203_social_0.sol,3,,,,
0,,500_62500_250_social_0.sol,2,,,,
0,,500_6913_14_social_0.sol,19,,,,
0,,500_9051_18_social_0.sol,17,,,,
0,,50_109_2_social_0.sol,3,,,,
0,,50_129_2_social_0.sol,3,,,,
